TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
30,spuh,kiwi1,avibase-avibase-262DB4D5,kiwi sp.,Apteryx sp.,Apterygiformes,Apterygidae (Kiwis),Kiwis,
32,species,grerhe1,avibase-avibase-00986B24,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),Rheas,
38,species,lesrhe2,avibase-avibase-590ADF92,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas),Rheas,
39,issf,lesrhe4,avibase-avibase-499B75D1,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,Rheiformes,Rheidae (Rheas),Rheas,lesrhe2
42,issf,lesrhe3,avibase-avibase-BA52A675,Lesser Rhea (Darwin's),Rhea pennata pennata,Rheiformes,Rheidae (Rheas),Rheas,lesrhe2
44,species,puntin1,avibase-avibase-0A51B426,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),Tinamous,
45,species,pattin1,avibase-avibase-EC451D91,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),Tinamous,
46,species,quctin1,avibase-avibase-9337459C,Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
49,species,elctin1,avibase-avibase-4E215E82,Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),Tinamous,
50,issf,elecrt11,avibase-avibase-AF3B0971,Elegant Crested-Tinamou (Northern),Eudromia elegans [intermedia Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,elctin1
54,issf,elecrt12,avibase-avibase-1F35FA73,Elegant Crested-Tinamou (Southern),Eudromia elegans [elegans Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,elctin1
62,species,dwatin1,avibase-avibase-B62C4561,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
63,species,whbnot1,avibase-avibase-458340C7,White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),Tinamous,
64,species,lesnot1,avibase-avibase-99D7964C,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),Tinamous,
65,species,darnot1,avibase-avibase-F7D16275,Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous),Tinamous,
71,species,sponot1,avibase-avibase-03C3DDFB,Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
81,slash,y01225,avibase-avibase-39884CBA,White-bellied/Spotted Nothura,Nothura boraquira/maculosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
82,slash,y01226,avibase-avibase-674A1BB6,Lesser/Spotted Nothura,Nothura minor/maculosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
83,slash,y01375,avibase-avibase-F7D0D942,Darwin's/Spotted Nothura,Nothura darwinii/maculosa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
84,species,huatin1,avibase-avibase-94AF5DC7,Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous),Tinamous,
85,species,rewtin1,avibase-avibase-C141F60A,Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous),Tinamous,
89,species,brutin1,avibase-avibase-4C8BCEC2,Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous),Tinamous,
92,species,andtin1,avibase-avibase-7A66539A,Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),Tinamous,
93,issf,andtin10,avibase-avibase-09AC1424,Andean Tinamou (Northern),Nothoprocta pentlandii [oustaleti Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,andtin1
97,issf,andtin11,avibase-avibase-F5B92081,Andean Tinamou (Southern),Nothoprocta pentlandii [pentlandii Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,andtin1
103,species,cubtin1,avibase-avibase-F68CA24D,Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous),Tinamous,
106,species,orntin1,avibase-avibase-286A2FBA,Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous),Tinamous,
110,species,tactin1,avibase-avibase-368EC295,Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous),Tinamous,
111,species,chitin1,avibase-avibase-F900EE88,Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous),Tinamous,
114,spuh,nothop1,avibase-avibase-D8C989EB,Nothoprocta sp.,Nothoprocta sp.,Tinamiformes,Tinamidae (Tinamous),Tinamous,
115,species,tabtin1,avibase-avibase-5FB99321,Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous),Tinamous,
116,species,hootin1,avibase-avibase-68E763AE,Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
119,species,higtin1,avibase-avibase-66C31E09,Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous),Tinamous,
120,issf,higtin3,avibase-avibase-E1140648,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii,Tinamiformes,Tinamidae (Tinamous),Tinamous,higtin1
121,issf,higtin2,avibase-avibase-7A906705,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,higtin1
126,species,gretin1,avibase-avibase-42D72AE1,Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous),Tinamous,
139,species,soltin1,avibase-avibase-67E5E0FA,Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous),Tinamous,
140,species,grytin1,avibase-avibase-346D16D5,Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous),Tinamous,
145,species,whttin1,avibase-avibase-0480B7C9,White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
146,species,blatin1,avibase-avibase-63C5F122,Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous),Tinamous,
147,issf,blktin1,avibase-avibase-A6684BDE,Black Tinamou (Colombian),Tinamus osgoodi hershkovitzi,Tinamiformes,Tinamidae (Tinamous),Tinamous,blatin1
148,issf,blktin2,avibase-avibase-353CEFF9,Black Tinamou (Peruvian),Tinamus osgoodi osgoodi,Tinamiformes,Tinamidae (Tinamous),Tinamous,blatin1
149,spuh,tinamu1,avibase-avibase-678BBDA9,Tinamus sp.,Tinamus sp.,Tinamiformes,Tinamidae (Tinamous),Tinamous,
150,species,bertin1,avibase-avibase-9B036853,Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous),Tinamous,
151,species,cintin1,avibase-avibase-7C90F8DB,Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
152,species,teptin1,avibase-avibase-F5F9A63F,Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous),Tinamous,
153,species,smbtin1,avibase-avibase-2988DEC6,Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous),Tinamous,
154,species,tattin1,avibase-avibase-9C7F2C57,Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous),Tinamous,
159,species,brotin1,avibase-avibase-D624C373,Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
160,issf,brntin11,avibase-avibase-9B9BE2A7,Brown Tinamou (Venezuelan),Crypturellus obsoletus cerviniventris/knoxi,Tinamiformes,Tinamidae (Tinamous),Tinamous,brotin1
163,issf,brntin1,avibase-avibase-312C8577,Brown Tinamou (Ecuadorian),Crypturellus obsoletus castaneus,Tinamiformes,Tinamidae (Tinamous),Tinamous,brotin1
164,issf,brntin2,avibase-avibase-87D217D1,Brown Tinamou (Andean),Crypturellus obsoletus [punensis Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,brotin1
168,issf,brntin8,avibase-avibase-18F2D028,Brown Tinamou (Amazonian),Crypturellus obsoletus griseiventris,Tinamiformes,Tinamidae (Tinamous),Tinamous,brotin1
169,issf,brntin10,avibase-avibase-CD045F12,Brown Tinamou (Atlantic),Crypturellus obsoletus obsoletus,Tinamiformes,Tinamidae (Tinamous),Tinamous,brotin1
170,species,vartin1,avibase-avibase-F8BBC7A7,Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
171,species,bartin2,avibase-avibase-88B9ABC1,Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous),Tinamous,
172,species,bartin1,avibase-avibase-26D1CE28,Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous),Tinamous,
173,species,rustin1,avibase-avibase-45EE168A,Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous),Tinamous,
174,species,littin1,avibase-avibase-39DD9DD7,Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous),Tinamous,
189,species,undtin1,avibase-avibase-7A600A0F,Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
196,species,yeltin1,avibase-avibase-7507BE36,Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
197,issf,yeltin2,avibase-avibase-5D053169,Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele,Tinamiformes,Tinamidae (Tinamous),Tinamous,yeltin1
198,issf,yeltin3,avibase-avibase-55A93510,Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus,Tinamiformes,Tinamidae (Tinamous),Tinamous,yeltin1
199,species,blctin1,avibase-avibase-41631439,Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
202,species,pabtin1,avibase-avibase-D303E7FF,Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
203,species,thitin1,avibase-avibase-AAB5CEED,Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
204,issf,thitin2,avibase-avibase-8A2D8FB6,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis,Tinamiformes,Tinamidae (Tinamous),Tinamous,thitin1
205,issf,thitin3,avibase-avibase-BC6EF580,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group],Tinamiformes,Tinamidae (Tinamous),Tinamous,thitin1
214,species,slbtin1,avibase-avibase-5183B60E,Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous),Tinamous,
217,species,chotin1,avibase-avibase-2ED97B54,Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous),Tinamous,
218,species,reltin1,avibase-avibase-4E03F38D,Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
226,species,gyltin1,avibase-avibase-D2592D39,Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous),Tinamous,
227,species,bratin1,avibase-avibase-FE2B5A6B,Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous),Tinamous,
228,form,sddtin1,avibase-avibase-23D44844,Serra do Divisor Tinamou (undescribed form),Crypturellus [undescribed form],Tinamiformes,Tinamidae (Tinamous),Tinamous,
229,spuh,cryptu1,avibase-avibase-C2342750,Crypturellus sp.,Crypturellus sp.,Tinamiformes,Tinamidae (Tinamous),Tinamous,
230,spuh,tinamo1,avibase-avibase-1C80D150,tinamou sp.,Tinamidae sp.,Tinamiformes,Tinamidae (Tinamous),Tinamous,
232,species,horscr1,avibase-avibase-71BA40DC,Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers),Screamers,
233,species,souscr1,avibase-avibase-91194BE3,Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers),Screamers,
234,species,norscr1,avibase-avibase-013B2B0B,Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers),Screamers,
236,species,maggoo1,avibase-avibase-89D5434B,Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose),Waterfowl,
238,species,spwduc1,avibase-avibase-1AAB20B0,Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
239,species,plwduc1,avibase-avibase-A467AD00,Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
240,species,wfwduc1,avibase-avibase-A534AFEA,White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
241,hybrid,x00721,avibase-avibase-D0C8EB9E,Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
242,hybrid,x01218,avibase-avibase-5C06C4C1,Plumed x White-faced Whistling-Duck (hybrid),Dendrocygna eytoni x viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
243,species,bbwduc,avibase-avibase-C01A22D6,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
244,issf,bkbwhd1,avibase-avibase-79DDD6D9,Black-bellied Whistling-Duck (Northern),Dendrocygna autumnalis fulgens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,bbwduc
245,issf,bkbwhd2,avibase-avibase-A63F77A1,Black-bellied Whistling-Duck (Southern),Dendrocygna autumnalis autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,bbwduc
246,hybrid,x01141,avibase-avibase-2E3AFEC0,White-faced x Black-bellied Whistling-Duck (hybrid),Dendrocygna viduata x autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
247,species,wiwduc1,avibase-avibase-DC65FCE7,West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
248,hybrid,x00775,avibase-avibase-D10F60FB,Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
249,species,fuwduc,avibase-avibase-9A60617E,Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
250,hybrid,x00938,avibase-avibase-944BFBDF,White-faced x Fulvous Whistling-Duck (hybrid),Dendrocygna viduata x bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
251,hybrid,x00875,avibase-avibase-973B0B71,Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
252,species,wawduc1,avibase-avibase-69D272A6,Wandering Whistling-Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
256,hybrid,x00990,avibase-avibase-F40F48ED,Plumed x Wandering Whistling-Duck (hybrid),Dendrocygna eytoni x arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
257,slash,y01227,avibase-avibase-B5604EDE,Plumed/Wandering Whistling-Duck,Dendrocygna eytoni/arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
258,species,lewduc1,avibase-avibase-BD683E6E,Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
259,slash,y01080,avibase-avibase-00932F1A,Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
260,hybrid,x00360,avibase-avibase-A34B2F91,Wandering x Lesser Whistling-Duck (hybrid),Dendrocygna arcuata x javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
261,spuh,whistl1,avibase-avibase-5EE786A2,whistling-duck sp.,Dendrocygna sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
262,species,whbduc1,avibase-avibase-2EEDACD5,White-backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
265,species,bahgoo,avibase-avibase-B7159EF0,Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
266,species,empgoo,avibase-avibase-1E6F0F8D,Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
267,species,snogoo,avibase-avibase-D3A260BC,Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
270,hybrid,x00991,avibase-avibase-5BDBBB81,Bar-headed x Snow Goose (hybrid),Anser indicus x caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
271,hybrid,x01176,avibase-avibase-DAB3D0B0,Emperor x Snow Goose (hybrid),Anser canagicus x caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
272,species,rosgoo,avibase-avibase-7A24F57F,Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
273,hybrid,sxrgoo1,avibase-avibase-4026C894,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
274,slash,y00469,avibase-avibase-594A12EF,Snow/Ross's Goose,Anser caerulescens/rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
275,species,gragoo,avibase-avibase-4AED44E8,Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
276,issf,gragoo2,avibase-avibase-5D2E44DE,Graylag Goose (European),Anser anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gragoo
277,issf,gragoo3,avibase-avibase-01364018,Graylag Goose (Siberian),Anser anser rubrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gragoo
278,domestic,gragoo1,avibase-avibase-6835DC6C,Graylag Goose (Domestic type),Anser anser (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gragoo
279,hybrid,x00992,avibase-avibase-E34C371D,Bar-headed x Graylag Goose (hybrid),Anser indicus x anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
280,hybrid,x01119,avibase-avibase-F177BE86,Emperor x Graylag Goose (hybrid),Anser canagicus x anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
281,species,swagoo1,avibase-avibase-946E4517,Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
282,domestic,swagoo2,avibase-avibase-1EC15745,Swan Goose (Domestic type),Anser cygnoides (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,swagoo1
283,hybrid,x01143,avibase-avibase-49AC5A73,Bar-headed x Swan Goose (hybrid),Anser indicus x cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
284,hybrid,x01144,avibase-avibase-1DA8AC66,Snow x Swan Goose (hybrid),Anser caerulescens x cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
285,hybrid,x01142,avibase-avibase-F6E1D293,Bar-headed x Snow x Swan Goose (hybrid),Anser indicus x caerulescens x cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
286,hybrid,x00776,avibase-avibase-916E14FB,Graylag x Swan Goose (hybrid),Anser anser x cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
287,species,gwfgoo,avibase-avibase-466E9077,Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
288,issf,gwfgoo1,avibase-avibase-948370D2,Greater White-fronted Goose (Greenland),Anser albifrons flavirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gwfgoo
289,issf,gwfgoo4,avibase-avibase-05DCDA52,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gwfgoo
290,issf,gwfgoo2,avibase-avibase-304D8767,Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gwfgoo
293,issf,gwfgoo3,avibase-avibase-4662DBF7,Greater White-fronted Goose (Tule),Anser albifrons elgasi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,gwfgoo
294,hybrid,x00755,avibase-avibase-71C99AF8,Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
295,hybrid,x00361,avibase-avibase-CBD2AE6E,Emperor x Greater White-fronted Goose (hybrid),Anser canagicus x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
296,hybrid,x00627,avibase-avibase-CC0A3AF6,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
297,hybrid,x00362,avibase-avibase-AF827B87,Ross's x Greater White-fronted Goose (hybrid),Anser rossii x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
298,hybrid,x01145,avibase-avibase-6DFDAF5F,Graylag x Greater White-fronted Goose (hybrid),Anser anser x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
299,species,lwfgoo,avibase-avibase-184D2329,Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
300,slash,y00707,avibase-avibase-3FC1DDB7,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
301,species,taibeg1,avibase-avibase-BDB497A3,Taiga Bean-Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
302,issf,taibeg5,avibase-avibase-6E126406,Taiga Bean-Goose (Western),Anser fabalis fabalis/johanseni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,taibeg1
305,issf,taibeg4,avibase-avibase-97E7761F,Taiga Bean-Goose (Eastern),Anser fabalis middendorffii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,taibeg1
306,species,tunbeg1,avibase-avibase-AD849FCB,Tundra Bean-Goose,Anser serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
309,hybrid,x01089,avibase-avibase-E1E49C90,Greater White-fronted Goose x Tundra Bean-Goose (hybrid),Anser albifrons x serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
310,slash,y00468,avibase-avibase-2FEEA78C,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
311,species,pifgoo,avibase-avibase-AFA7EE74,Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
312,domestic,domgoo1,avibase-avibase-B5A67E0C,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
313,spuh,anser1,avibase-avibase-C9ADFB7A,Anser sp.,Anser sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
314,species,brant,avibase-avibase-3E04020B,Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,
315,issf,dabbra1,avibase-avibase-FF504551,Brant (Dark-bellied),Branta bernicla bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
316,issf,atlbra1,avibase-avibase-81A40D31,Brant (Pale-bellied),Branta bernicla hrota,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Waterfowl,brant
