TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
2,species,ostric2,avibase-avibase-2247CB05,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),Ostriches,
7,species,ostric3,avibase-avibase-40329BB6,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),Ostriches,
8,slash,y00934,avibase-avibase-5D14080C,Common/Somali Ostrich,Struthio camelus/molybdophanes,Struthioniformes,Struthionidae (Ostriches),Ostriches,
10,species,soucas1,avibase-avibase-8B9D93D8,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
11,species,dwacas1,avibase-avibase-7751E0D1,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
14,species,norcas1,avibase-avibase-32E7303B,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
15,species,emu1,avibase-avibase-FD2456D5,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),Cassowaries and Emu,
21,species,sobkiw1,avibase-avibase-6BA55EF0,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),Kiwis,
22,issf,sobkiw2,avibase-avibase-542125A3,Southern Brown Kiwi (South I.),Apteryx australis australis,Apterygiformes,Apterygidae (Kiwis),Kiwis,sobkiw1
23,issf,sobkiw3,avibase-avibase-85AC0A84,Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi,Apterygiformes,Apterygidae (Kiwis),Kiwis,sobkiw1
24,species,okbkiw1,avibase-avibase-D433BDAB,Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),Kiwis,
25,species,nibkiw1,avibase-avibase-DB55CB8C,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),Kiwis,
26,hybrid,x01217,avibase-avibase-2EF9EA71,Southern Brown x North Island Brown Kiwi (hybrid),Apteryx australis x mantelli,Apterygiformes,Apterygidae (Kiwis),Kiwis,
27,species,liskiw1,avibase-avibase-187706CF,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),Kiwis,
28,hybrid,x01059,avibase-avibase-9B30D5F8,Okarito Brown x Little Spotted Kiwi (hybrid),Apteryx rowi x owenii,Apterygiformes,Apterygidae (Kiwis),Kiwis,
29,species,grskiw1,avibase-avibase-0D8B9E40,Great Spotted Kiwi,Apteryx maxima,Apterygiformes,Apterygidae (Kiwis),Kiwis,
