"xenocolumns"
"file_url"
"genus"
"specific.epithet"
"subspecies"
"english.name"
"recordist"
"country"
"locality"
"latitude"
"longitude"
"vocalization.type"
"audio_file"
"license"
"url"
"quality"
"time"
"date"
"group"
"altitude"
"sex"
"stage"
"method"
"file.name"
"spectrogram.small"
"spectrogram.med"
"spectrogram.large"
"spectrogram.full"
"osci.small"
"osci.med"
"osci.large"
"length"
"uploaded"
"remarks"
"bird.seen"
"animal.seen"
"playback.used"
"temp"
"regnr"
"auto"
"dvc"
"mic"
"smp"
"other.species"
"other.species1"
"other.species2"
"other.species3"
"other.species4"
"other.species5"
"other.species6"
"other.species7"
"other.species8"
"other.species9"
"other.species10"
"other.species11"
"repository"
