"wikiavescolumns"
"id"
"tipo"
"id_usuario"
"sp.id"
"sp.nome"
"sp.nvt"
"sp.idwiki"
"autor"
"perfil"
"data"
"is_questionada"
"local"
"idMunicipio"
"coms"
"likes"
"vis"
"link"
"dura"
"repository"
